tonnage,Hs,N,GM,Xacc_mean_deg,Xacc_std_deg,Xacc_max_deg,exceed_15deg_pct,exceed_20deg_pct,exceed_25deg_pct
10,3.0,5001,0.3,7.3,3.35,19.99,1.74,0.0,0.0
10,5.0,5001,0.3,9.04,4.46,29.61,9.88,1.68,0.24
10,7.0,5001,0.3,11.04,5.91,38.55,23.36,7.84,2.22
20,3.0,5001,0.3261,4.5,3.27,20.27,0.76,0.02,0.0
20,5.0,5001,0.3261,7.5,5.42,32.42,10.56,2.66,0.52
20,7.0,5001,0.3261,10.5,7.52,49.26,25.21,11.98,4.84
30,3.0,5001,0.3723,4.48,3.34,19.2,0.56,0.0,0.0
30,5.0,5001,0.3723,7.51,5.54,34.85,11.0,2.86,0.7
30,7.0,5001,0.3723,10.54,7.83,50.7,25.41,13.32,5.58
40,3.0,5001,0.4104,4.57,3.4,20.97,0.76,0.02,0.0
40,5.0,5001,0.4104,7.69,5.59,35.11,11.54,3.02,0.62
40,7.0,5001,0.4104,10.57,8.06,48.87,25.95,12.96,5.82
50,3.0,5001,0.4398,4.62,3.44,19.89,0.76,0.0,0.0
50,5.0,5001,0.4398,7.76,5.71,41.12,12.22,3.32,0.76
50,7.0,5001,0.4398,10.76,8.21,50.58,26.07,13.92,6.66
