axis,setting,seed,metric,rmse_deg,r2
lookback,10,0,overall,3.95323065050524,0.589263179260711
lookback,20,0,overall,3.499129452526749,0.6787437808517331
lookback,30,0,overall,3.363382858727956,0.7027216202777398
features,all,0,overall,3.487164403297687,0.6809370547135866
features,kinematic,0,overall,3.636676782244144,0.6529908455592403
features,rates+angles,0,overall,3.5148357315222998,0.6758533110409708
features,angles,0,overall,3.5449670226675374,0.6702719279348475
hidden,64,0,overall,3.5274760137325982,0.6735176837520824
hidden,128,0,overall,3.504043062382183,0.6778409071169316
hidden,256,0,overall,3.507695292917233,0.6771689904570652
horizon,5,0,t+1,1.6568571426863152,0.9279279941973263
horizon,5,0,t+5,4.649263225903705,0.43367418232866506
horizon,10,0,t+1,1.6947374606470238,0.9247185759985452
horizon,10,0,t+5,4.723433475360163,0.4151638369251748
lookback,10,1,overall,3.954621346155213,0.58897414457868
lookback,20,1,overall,3.5116441146231576,0.6764417210954623
lookback,30,1,overall,3.363304562260775,0.7027354608525176
features,all,1,overall,3.5046068421264236,0.6777372318029633
features,kinematic,1,overall,3.6552045586452624,0.6494460236761554
features,rates+angles,1,overall,3.518116302143491,0.6752479442804553
features,angles,1,overall,3.5670519838892494,0.6661507527707553
hidden,64,1,overall,3.5609075320159573,0.6672999111699043
hidden,128,1,overall,3.4929913012511533,0.679869883634602
hidden,256,1,overall,3.495054953283165,0.6794915074752088
horizon,5,1,t+1,1.621969048141158,0.930931248626711
horizon,5,1,t+5,4.7011535492422585,0.4209621368992832
horizon,10,1,t+1,1.7203453744321195,0.9224263448581171
horizon,10,1,t+5,4.748926609998186,0.40883389024738737
lookback,10,2,overall,3.9573617812814708,0.588404289783155
lookback,20,2,overall,3.4903997925700017,0.6803447271997105
lookback,30,2,overall,3.395960683684461,0.6969348356692106
features,all,2,overall,3.4989290359194043,0.6787805804263356
features,kinematic,2,overall,3.6515431776324707,0.6501479646001349
features,rates+angles,2,overall,3.5417624681133413,0.6708677890556992
features,angles,2,overall,3.563766349787007,0.6667654908193839
hidden,64,2,overall,3.5352590077565478,0.6720753985951854
hidden,128,2,overall,3.498054478257759,0.6789411380100818
hidden,256,2,overall,3.4989876374129913,0.6787698205079729
horizon,5,2,t+1,1.6318162692516645,0.9300900490122376
horizon,5,2,t+5,4.661929765338673,0.4305841615619398
horizon,10,2,t+1,1.691438777134043,0.925011350449079
horizon,10,2,t+5,4.725861751505067,0.4145623639701064
lookback,10,3,overall,3.963963264319404,0.5870299355777502
lookback,20,3,overall,3.502250995553401,0.6781703454155241
lookback,30,3,overall,3.3828605179686155,0.6992685176927638
features,all,3,overall,3.5014374176738206,0.6783198510198625
features,kinematic,3,overall,3.6315275289800755,0.6539728261507586
features,rates+angles,3,overall,3.5244560571507844,0.6740764630962692
features,angles,3,overall,3.5504211489409725,0.6692565379571909
hidden,64,3,overall,3.525595622888357,0.673865666687357
hidden,128,3,overall,3.4927779291875383,0.6799089932294311
hidden,256,3,overall,3.5140109657175014,0.6760054170047092
horizon,5,3,t+1,1.6380502004138318,0.9295548830292557
horizon,5,3,t+5,4.648967511716936,0.43374622180870226
horizon,10,3,t+1,1.6657696718382595,0.9272701204224488
horizon,10,3,t+5,4.757353711304983,0.4067339475482824
lookback,10,4,overall,3.9578328616978484,0.5883062920615515
lookback,20,4,overall,3.498856901886561,0.6787938248294532
lookback,30,4,overall,3.384082358844422,0.6990512386332827
features,all,4,overall,3.483322918879414,0.6816396314119475
features,kinematic,4,overall,3.6488155140181933,0.6506704408261954
features,rates+angles,4,overall,3.5146260056777483,0.6758919927405407
features,angles,4,overall,3.5454155589780756,0.6701884832266838
hidden,64,4,overall,3.5468729583442276,0.6699172789740827
hidden,128,4,overall,3.497117250228541,0.6791131565168342
hidden,256,4,overall,3.5030049946942454,0.6780317571736162
horizon,5,4,t+1,1.6260608694471552,0.9305823227644335
horizon,5,4,t+5,4.656489937647808,0.43191224542856055
horizon,10,4,t+1,1.6487984757756542,0.9287445443503681
horizon,10,4,t+5,4.716104905761485,0.4169772159424887
