axis,setting,metric,rmse_deg_mean,rmse_deg_std,r2_mean,r2_std,n
features,all,overall,3.49509212357935,0.00931232316092346,0.6794828698749391,0.001707289480264377,5
features,angles,overall,3.5543244128525684,0.010407991342752209,0.6685266385417723,0.001942098766539214,5
features,kinematic,overall,3.644753512304029,0.01014869432698695,0.651445620162497,0.0019402120183109786,5
features,rates+angles,overall,3.522759312921533,0.01134118849835117,0.674387500042787,0.0020998555819896915,5
hidden,64,overall,3.5392222269475377,0.014732202111760531,0.6713351878357223,0.0027389983078461157,5
hidden,128,overall,3.4969968042614346,0.004599616730560818,0.6791348157015762,0.0008443718530188166,5
hidden,256,overall,3.503750768805027,0.007411000580672072,0.6778934985237145,0.0013629427761715233,5
horizon,5,t+1,1.6349507059880248,0.013664517576030325,0.9298172995259929,0.0011767404640870905,5
horizon,5,t+5,4.663560797969876,0.02169825368556799,0.4301757896054301,0.005316488042735106,5
horizon,10,t+1,1.68421795196542,0.02767159810307811,0.9256341872157117,0.002442699382448727,5
horizon,10,t+5,4.734336090785977,0.01778870190603599,0.4124542509266879,0.004417920653724103,5
lookback,10,overall,3.9574019807918352,0.0041342968334165476,0.5883955682523696,0.0008603049361268062,5
lookback,20,overall,3.5004562514319746,0.007645915059557881,0.6784988798783766,0.001404809461812821,5
lookback,30,overall,3.3779181962972458,0.014254728448257415,0.7001423346251029,0.0025307663935981825,5
