threshold_deg,alarm,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,best_f1_mean,best_f1_std,effective_horizon_s_mean,effective_horizon_s_std,achieved_fpr_mean,achieved_fpr_std,detection_rate_mean,detection_rate_std,mean_lead_s_mean,mean_lead_s_std,prevalence,budget_fpr,n_events,n_seeds
15,point,0.9277907205341283,0.002088444315614791,0.7559920733376846,0.0027664311159864745,0.6902252954658934,0.004399264456534581,5.0,0.0,0.1,0.0,0.9955521075769329,0.0005896950737518152,4.028479611045875,0.040474279658864146,0.1205,0.1,7734,5
15,prob,0.9467808513871802,0.001124365954240288,0.7884212962707147,0.0022229423066258084,0.6980262733523074,0.0021033975499111113,5.0,0.0,0.09998,4.47213595499963e-05,0.9877165761572279,0.0028868778848934818,4.364363209926727,0.02469713083669673,0.1205,0.1,7734,5
15,naive,0.669714428508971,0.0,0.25386811723700436,0.0,0.31572511857688024,0.0,0.0,0.0,0.1,0.0,0.7314455650374968,0.0,3.5851157857521656,0.0,0.1205,0.1,7734,5
20,point,0.9483451274949519,0.002495289498943165,0.6991081286854839,0.004496577748357508,0.6518613199058002,0.005018242225857154,5.0,0.0,0.09996000000000001,5.4772255750519656e-05,0.9968454258675079,0.0002230620760840791,4.270380439617929,0.04089480842761701,0.0494,0.1,3170,5
20,prob,0.9526051989162585,0.002923646107426253,0.7330894964939134,0.00384793104372413,0.6608151805666262,0.002195632188877518,5.0,0.0,0.09994,5.477225575052114e-05,0.994826498422713,0.0006149397062971307,4.65899874385025,0.015075349247664769,0.0494,0.1,3170,5
20,naive,0.7026234819139661,0.0,0.15025861965068318,0.0,0.23255448037133192,0.0,0.0,0.0,0.0999,0.0,0.8280757097791798,0.0,3.5950476190476186,0.0,0.0494,0.1,3170,5
25,point,0.9638163283948481,0.0021471950169420985,0.6331101391284857,0.005568105351551661,0.60459831051104,0.005211982040089809,5.0,0.0,0.09992000000000001,0.00010954451150103572,0.9956204379562044,0.0007254072919707468,4.520852353632815,0.04421249246981237,0.0192,0.1,1233,5
25,prob,0.9456087979977287,0.004754053192885757,0.6644269728947785,0.004794846043503834,0.6134016559615254,0.0016743130841567584,5.0,0.0,0.05816,0.0037467319092777383,0.994809407948094,0.00044421943025563395,4.632311729958479,0.038946510022667996,0.0192,0.1,1233,5
25,naive,0.7343769846202248,0.0,0.08460921378480168,0.0,0.1611026808295397,0.0,0.0,0.0,0.1,0.0,0.8856447688564477,0.0,3.659340659340659,0.0,0.0192,0.1,1233,5
