variant,gm_10t_m,n_test_windows,rmse_deg,mae_deg,r2,exceed15_prevalence,exceed15_recall,seed
clamped,0.3,81058,7.620976527191357,5.263106844458067,-1.5640464006006165,0.1042340052801697,0.3883536513196828,0
unclamped,0.2582,86986,7.263779750492881,5.125148131978066,-0.7433767016983277,0.1525417883337548,0.4097972718366116,0
clamped,0.3,81058,6.337350049695811,4.582380922005513,-0.7730460899392966,0.1042340052801697,0.3367025683512841,1
unclamped,0.2582,86986,6.243733268505544,4.594399443404385,-0.2881148498958312,0.1525417883337548,0.352973095184264,1
clamped,0.3,81058,6.3150781898052255,4.360593412291967,-0.760605671140129,0.1042340052801697,0.3606580660433187,2
unclamped,0.2582,86986,6.267930346691836,4.412232466181598,-0.2981181636521459,0.1525417883337548,0.3907001281181702,2
clamped,0.3,81058,6.334319945926591,4.540954719705248,-0.7713509873469637,0.1042340052801697,0.3879985797135756,3
unclamped,0.2582,86986,6.348588889800107,4.598927742145536,-0.3317426633333016,0.1525417883337548,0.4107619262943703,3
clamped,0.3,81058,6.179096235215729,4.389926455961498,-0.6856001079768936,0.1042340052801697,0.3501716179429518,4
unclamped,0.2582,86986,6.170340628184783,4.460202558389362,-0.2580102581852963,0.1525417883337548,0.3588665310121335,4
