method,picp,mpiw_deg,crps_deg,point_rmse_deg,seed
MC-Dropout,0.7480927959540282,9.76505356045622,2.6621706819500996,4.976245470190412,0
Deep Ensemble,0.7002827065960137,8.817901053887011,2.6537047410111936,4.925088606129101,0
Quantile,0.809708627523405,11.202244370480203,2.0734795511536954,5.039846947599886,0
MC-Dropout,0.7385404384083193,9.662602566028262,2.699778360539001,5.0370982441039915,1
Deep Ensemble,0.7010782628461025,8.808367132374634,2.64623285292935,4.916267173175773,1
Quantile,0.8001321191629611,11.08907468728192,2.0937276933583,5.062566951858181,1
MC-Dropout,0.7433904902615391,9.76522014343882,2.6946449616445043,5.039443449205426,2
Deep Ensemble,0.6982043158926567,8.75361978631078,2.6529465594707764,4.932043222241584,2
Quantile,0.8092938017644301,11.20522326646874,2.0867238829581547,5.082615740660084,2
MC-Dropout,0.7446576977170377,9.841969282964037,2.696986041713075,5.032768900069736,3
Deep Ensemble,0.7007401514398147,8.788909008440712,2.650205984910634,4.917568776045588,3
Quantile,0.804412495915671,10.949878277156103,2.075836048176663,5.019226430781923,3
MC-Dropout,0.7440496654401841,9.738721181022663,2.663852564310072,4.957893817746822,4
Deep Ensemble,0.695810543961586,8.723040186185495,2.6557413315660554,4.920371101729228,4
Quantile,0.815942378997315,11.309439481269257,2.074104630710901,5.050134215338816,4
