representation,horizon_s,rmse_deg,mae_deg,r2,seed
direct,1,1.619688215101195,1.218878274642554,0.931125362721555,0
direct,2,2.086305227210775,1.579770899191382,0.8857233430025404,0
direct,3,3.276470478643636,2.4688336232698442,0.7182300808395861,0
direct,4,4.698099276007379,3.5347829185163104,0.4209391799866882,0
direct,5,4.67567198528488,3.5270325999040812,0.42722221866344523,0
direct,overall,3.5112779307211457,2.465859663104834,0.6765091969852519,0
reconstruction,1,1.6033666591544469,1.1872184814202416,0.9325064646696968,0
reconstruction,2,2.0380608486932936,1.5185326390921894,0.8909473741426449,0
reconstruction,3,3.401221601436116,2.514004133125932,0.6963649056674269,0
reconstruction,4,5.058204749271993,3.69539227049379,0.32876806327126484,0
reconstruction,5,5.086512330328123,3.7253128607372403,0.32214267484307635,0
reconstruction,overall,3.7349920487432895,2.528092076973879,0.6339748835282868,0
gz,1,1.6046146029450032,1.2028360969285319,0.9324013596815641,0
gz,2,2.1009916299840503,1.572482095157456,0.8841087947810821,0
gz,3,3.278411599223469,2.4717243414089367,0.7178961169534617,0
gz,4,4.675084760357046,3.5217372518073478,0.42659855906971444,0
gz,5,4.669784680431114,3.524147369497597,0.42866372031126343,0
gz,overall,3.504290026390001,2.4585854309599737,0.6777954941450813,0
direct,1,1.6086685207482416,1.2131276419767,0.9320593641655018,1
direct,2,2.0756589489274804,1.5764533018924776,0.88688665976671,1
direct,3,3.275789406408479,2.471384187388034,0.7183472103693058,1
direct,4,4.675666949680132,3.545274366875996,0.42645573856496877,1
direct,5,4.664356468123993,3.537118042755461,0.42999120426318393,1
direct,overall,3.499858665806616,2.4686715081777337,0.6786098682802869,1
reconstruction,1,1.550827409819532,1.1434751331747965,0.9368572610081507,1
reconstruction,2,2.011885646665062,1.4963006080707242,0.8937305532970441,1
reconstruction,3,3.4030831414378997,2.5123646584828543,0.6960324465574643,1
reconstruction,4,5.028414294917187,3.6700809925923186,0.3366512633124996,1
reconstruction,5,5.048464529487116,3.700117374857486,0.3322456762022219,1
reconstruction,overall,3.7096002157822983,2.5044677534356357,0.6389347101284356,1
gz,1,1.6355377383205612,1.2359607781194912,0.9297708165222892,1
gz,2,2.112570159063007,1.608059033583729,0.8828279261419031,1
gz,3,3.2714000430033656,2.46011485689086,0.7191015007255779,1
gz,4,4.676820412165302,3.5449204090646136,0.4261727229446607,1
gz,5,4.6770479148310145,3.5444291405608674,0.42688506163694384,1
gz,overall,3.509627358483172,2.478696843643912,0.6768132569039007,1
direct,1,1.5944968407472195,1.1967445100095866,0.9332511471400499,2
direct,2,2.073397707730893,1.5519015670579486,0.8871329788668083,2
direct,3,3.267287604737545,2.463122912648158,0.7198072851860065,2
direct,4,4.670217096359991,3.520003032854021,0.42779198021313203,2
direct,5,4.654012409187465,3.517839916493258,0.43251659727917313,2
direct,overall,3.4924869578468645,2.4499223878125944,0.6799623223741926,2
reconstruction,1,1.6391811085330306,1.2175519830630745,0.929457578983616,2
reconstruction,2,2.0913445404955042,1.556773277627302,0.8851706229492675,2
reconstruction,3,3.405367186828083,2.518093929131887,0.6956242821673206,2
reconstruction,4,5.1059498738836675,3.725108067655219,0.31603654797892144,2
reconstruction,5,5.048900600121811,3.689696746806908,0.33213031414468697,2
reconstruction,overall,3.7475134090562054,2.541444800856878,0.6315166107075664,2
gz,1,1.625641293072642,1.2220033872843823,0.9306181421610635,2
gz,2,2.107914986411797,1.5888615963751522,0.8833437483113296,2
gz,3,3.2747159892826354,2.464997273575391,0.7185317652086022,2
gz,4,4.6796312014371,3.519801724355845,0.4254827703297517,2
gz,5,4.675289377187746,3.5201410868189846,0.42731595511512077,2
gz,overall,3.509047134367218,2.46316101368195,0.676920108841357,2
direct,1,1.6185196490015945,1.2125599790570152,0.9312247096596338,3
direct,2,2.0549897283400265,1.5563445345568563,0.8891281878982138,3
direct,3,3.288946211335678,2.4723928210471366,0.7160802194276534,3
direct,4,4.674989978728315,3.536688463243738,0.4266218088606186,3
direct,5,4.663729568974738,3.530351411421718,0.4301444146869893,3
direct,overall,3.5004474174764018,2.4616674418652926,0.678501729689488,3
reconstruction,1,1.6075851104158756,1.1863346936678336,0.9321508470274903,3
reconstruction,2,2.0164892984499505,1.4975390275717857,0.8932436595606005,3
reconstruction,3,3.3916678166012972,2.504142180017257,0.6980682878872252,3
reconstruction,4,5.033434408208897,3.678231085780188,0.3353260948164706,3
reconstruction,5,4.995229003876885,3.6512643724375486,0.3462542231235879,3
reconstruction,overall,3.699776866219829,2.503502271894923,0.6408444438666954,3
gz,1,1.6417852830974873,1.241469084528811,0.929233258798516,3
gz,2,2.1322925019672505,1.605950577641219,0.8806299448891737,3
gz,3,3.2722108582821248,2.4620539767261027,0.7189622422938873,3
gz,4,4.707407243525062,3.563800842369613,0.4186424134628651,3
gz,5,4.7109027203222915,3.5669904174887934,0.4185580492530928,3
gz,overall,3.5299229886084733,2.4880529797509077,0.6730645716035843,3
direct,1,1.5969254071417767,1.2040141134755025,0.9330476629229535,4
direct,2,2.077760810965046,1.5657855026347758,0.8866574612166428,4
direct,3,3.2715016707441857,2.466901570248396,0.7190840479390518,4
direct,4,4.67002799016395,3.5252923226212265,0.42783831891172164,4
direct,5,4.654431291747652,3.521674895113992,0.4324144404402379,4
direct,overall,3.494077160102607,2.456733680818778,0.6796708163470919,4
reconstruction,1,1.643401591780148,1.2181066139348524,0.9290938529914167,4
reconstruction,2,2.050225953672022,1.5260314516945361,0.8896416271002443,4
reconstruction,3,3.427710871625307,2.5279671188444897,0.6916169689674567,4
reconstruction,4,5.116598568964391,3.728304008430574,0.3131806981269337,4
reconstruction,5,5.10331305375052,3.733383223628644,0.31765736122702537,4
reconstruction,overall,3.7650174531585665,2.546758483306619,0.6280663159974958,4
gz,1,1.608925163759444,1.1998984851766619,0.9320376842730617,4
gz,2,2.075359330653403,1.5658536968027112,0.8869193128938033,4
gz,3,3.2765785533691036,2.469374710118645,0.7182114921118126,4
gz,4,4.673047721597711,3.5402484233689346,0.42709813781488704,4
gz,5,4.674893899829379,3.546447204518489,0.42741283638855054,4
gz,overall,3.5021059816429987,2.4643645039970887,0.6781969961670273,4
