representation,horizon_s,rmse_deg_mean,rmse_deg_std,mae_deg_mean,mae_deg_std,r2_mean,r2_std,n_seeds
direct,1,1.6076597265480053,0.011748694544821603,1.2090649038322716,0.008693765379440006,0.9321416493219388,0.0009914930280912895,5
direct,2,2.073622484634844,0.011503858294897919,1.566051161066688,0.01215458690356967,0.887105726150183,0.0012501008889992738,5
direct,3,3.2759990743739045,0.008124205819370765,2.4685270229203136,0.0037097268076484963,0.7183097687523208,0.0013982762564499376,5
direct,4,4.677800258187953,0.011644862534720721,3.5324082208222585,0.009924994638986235,0.42592940530742585,0.0028623388408010497,5
direct,5,4.662440344663745,0.008882355641536674,3.5268033731377018,0.007511297686739837,0.43045777506660593,0.0021709442972750494,5
direct,overall,3.499629626390727,0.0073866743345040375,2.460570936355847,0.007465057517092853,0.6786507867352622,0.001357468703266798,5
reconstruction,1,1.6088723759406065,0.037121671836374645,1.1905373810521598,0.03055071265468186,0.9320132009360741,0.0031137184171476334,5
reconstruction,2,2.0416012575951665,0.031917636568102786,1.5190354008113076,0.02476040037689324,0.8905467674099603,0.0034384740017833933,5
reconstruction,3,3.4058101235857405,0.013307279696263283,2.5153144039204838,0.008704213778318724,0.6955413782493787,0.0023828805614723157,5
reconstruction,4,5.068520379049227,0.0407995556991607,3.699423284990418,0.02655246106944925,0.32599253350121804,0.010859238312352297,5
reconstruction,5,5.056483903512891,0.04173923606296533,3.699954915693566,0.032544210593796974,0.3300860499081197,0.011043350226267207,5
reconstruction,overall,3.7313799985920375,0.026823166778880404,2.524853077293587,0.020230185010835528,0.6346673928456961,0.005252313035703805,5
gz,1,1.6233008162390277,0.016222897093022846,1.2204335664075756,0.018824267296410405,0.9308122522872988,0.0013822475803565468,5
gz,2,2.1058257216159015,0.020627120171128933,1.5882413999120535,0.019080770167246065,0.8835659454034583,0.002277822533152332,5
gz,3,3.274663408632139,0.0029318950886618603,2.465653031743987,0.0048673988811621,0.7185406234586683,0.0005040189227792765,5
gz,4,4.682398267816444,0.014187477770504914,3.538101730193271,0.018126178625722068,0.42479892072437575,0.003492229298298527,5
gz,5,4.68158371852031,0.016611495180529925,3.540431043776946,0.018936866829805093,0.4257671245409943,0.004084056211231949,5
gz,overall,3.5109986978983727,0.011044281627770625,2.4705721544067663,0.01233624030402136,0.6765580855321901,0.0020382603500855227,5
