fpr_budget,refractory_s,detection_rate,detection_rate_std,false_episodes_per_hour,false_episodes_per_hour_std,precision,precision_std
0.05,0,0.97713163064833,0.0022978690007408186,79.4815440969287,4.8994848998414176,0.6569544789353473,0.011940861029670026
0.05,3,0.9701375245579568,0.003299185780696783,136.12848689771766,5.248118855075797,0.6424886262679076,0.008190138990898972
0.05,5,0.8590962671905699,0.00306382533432109,94.74218089602704,4.127783914087082,0.6586347605345608,0.009261450391974879
0.05,10,0.5558349705304518,0.002198286951779856,61.02000563539025,2.0745585329669938,0.657023794803845,0.007366184918241004
0.1,0,0.9925343811394892,0.000735099683059743,112.93322062552832,3.477542658899186,0.5461969963580497,0.008950571815409295
0.1,3,0.991041257367387,0.0006456454508901534,205.06058044519582,6.987247628254444,0.5583477194761316,0.008423813499733174
0.1,5,0.8631827111984283,0.0044576040238559515,143.9729501267963,4.940280218976924,0.5671691104334368,0.008927981489098865
0.1,10,0.527229862475442,0.003529790912609168,91.56382079459001,3.570009716252746,0.555800678260644,0.010921649098336405
0.2,0,0.9957563850687624,0.00032874657231204713,134.79853479853477,4.903761040925805,0.4082384880388812,0.004921144165266554
0.2,3,0.9956777996070727,0.00039292730844797674,298.87855734009577,7.983341343398327,0.47693232118699685,0.007547806896264919
0.2,5,0.8495874263261298,0.003292158752951405,213.3784164553395,6.18631365681445,0.4708774954215529,0.008003386551302994
0.2,10,0.4924165029469548,0.0030359833040600076,130.4705550859397,3.3038962261693077,0.45786795696009674,0.007025758742405596
