k,n,threshold_deg,alarm,alpha,detection_rate,missed_event_rate,false_alert_rate,false_episodes_per_hour,precision,lead_time_s,lead_p10_s,lead_p50_s,lead_p90_s,n_seeds,false_alert_rate_std,false_episodes_per_hour_std,lead_time_s_std,detection_rate_std
1,1,15,prob,0.2520922812946276,0.9925343811394892,0.0074656188605108035,0.45380300364195014,112.93322062552832,0.5461969963580499,4.339030250633238,2.0,5.0,5.0,5,0.008950571815409293,3.477542658899186,0.011390818478741056,0.0007350996830597375
1,3,15,prob,0.2520922812946276,0.9933202357563851,0.0066797642436149385,0.39221849465904846,53.98703860242322,0.6077815053409515,4.5758669617711,3.180000000000001,5.0,5.0,5,0.0074933101007673515,1.9812224098334128,0.012041884534609542,0.0006212726247875152
2,3,15,prob,0.2520922812946276,0.9539489194499018,0.04605108055009821,0.35190429844928744,53.35587489433643,0.6480957015507125,4.237913704924715,2.0,5.0,5.0,5,0.008345899432563527,1.7178237264169074,0.013652526376176935,0.003952778417275982
3,3,15,prob,0.2520922812946276,0.8264047151277014,0.17359528487229864,0.3271851808804362,49.88447449985911,0.6728148191195638,3.9386693981955974,2.0,5.0,5.0,5,0.009363814249736053,2.4687897965633243,0.025012421157687217,0.0074106132041064365
1,5,15,prob,0.2520922812946276,0.9940275049115913,0.005972495088408647,0.3633036191706143,33.7221752606368,0.6366963808293857,4.696569672230692,4.0,5.0,5.0,5,0.016770712365279817,2.1758737275777333,0.015296932801058262,0.0007028897375244758
2,5,15,prob,0.2520922812946276,0.9647937131630648,0.03520628683693516,0.3212051248906188,32.21189067342913,0.6787948751093812,4.495771698395901,3.0,5.0,5.0,5,0.0053369131847042055,0.7784185584596005,0.01556183709539454,0.0026591629572791835
3,5,15,prob,0.2520922812946276,0.8933595284872299,0.10664047151277012,0.302586118989111,32.91067906452521,0.697413881010889,4.3323942664442185,2.0,5.0,5.0,5,0.007345739553421702,1.3548397047248586,0.017641122953073476,0.00403205454848417
5,5,15,prob,0.2520922812946276,0.6027504911591356,0.3972495088408644,0.3187547009598402,34.78162862778247,0.6812452990401597,3.9373536387244883,1.0,5.0,5.0,5,0.011354700904106745,2.1732449779034915,0.019473326601747647,0.009668726757850106
1,7,15,prob,0.2520922812946276,0.9943418467583497,0.005658153241650287,0.3520112381911095,24.32234432234432,0.6479887618088904,4.7571260776182,4.2,5.0,5.0,5,0.01858830303137018,1.5150712889405669,0.014754372813205881,0.0007137879027341378
3,7,15,prob,0.2520922812946276,0.9222003929273084,0.07779960707269154,0.29312246657729474,23.758805297266836,0.7068775334227053,4.550206577170139,2.460000000000002,5.0,5.0,5,0.007792587459088165,0.5769054445565391,0.01285995884906323,0.005754742049460492
5,7,15,prob,0.2520922812946276,0.74286836935167,0.25713163064833006,0.2917262287073605,25.990419836573682,0.7082737712926395,4.36796898413215,2.0,5.0,5.0,5,0.009509009401639672,1.4578134825138358,0.02134464781135793,0.0071680969750830235
7,7,15,prob,0.2520922812946276,0.45430255402750486,0.545697445972495,0.27598244810400774,20.60298675683291,0.7240175518959923,3.9166483351761805,1.0,5.0,5.0,5,0.011505592938935402,0.8449327614084563,0.007675683577583565,0.0134843355406976
1,10,15,prob,0.2520922812946276,0.9943418467583497,0.005658153241650287,0.3432991576386605,17.311918850380387,0.6567008423613395,4.826281602385949,5.0,5.0,5.0,5,0.02347537477183385,1.6383388903097005,0.012782914901381337,0.0007137879027341378
3,10,15,prob,0.2520922812946276,0.9409823182711199,0.05901768172888015,0.27984412950145343,15.89180050718512,0.7201558704985466,4.694642324394846,4.0,5.0,5.0,5,0.009909991693166687,0.41411491847560045,0.009268436121705017,0.005418979020215155
5,10,15,prob,0.2520922812946276,0.8384282907662083,0.16157170923379174,0.2822417714962787,18.07833192448577,0.7177582285037213,4.621123176214448,3.0,5.0,5.0,5,0.015729948913175276,1.2716517515981596,0.013638465359171148,0.007953260276514355
7,10,15,prob,0.2520922812946276,0.6905304518664047,0.3094695481335953,0.2538478206006191,17.018878557340095,0.7461521793993808,4.426963219560466,2.0,5.0,5.0,5,0.015810432703126046,1.3618535895851873,0.019047415443917085,0.007520222196182281
10,10,15,prob,0.2520922812946276,0.295795677799607,0.704204322200393,0.29520633878861047,14.178641870949562,0.7047936612113895,4.035066605871553,1.2,5.0,5.0,5,0.014650655288908028,0.7321671127150958,0.026080221033852224,0.009856133340739105
