dim,value,coverage_mean,coverage_std,mpiw_deg_mean,mpiw_deg_std,n
horizon,1,0.9459768315591734,0.002993380620572986,5.775308837270496,0.05937517078538914,63880
horizon,2,0.9378929242329368,0.003914426960790733,7.124278193639741,0.12955971597100036,63880
horizon,3,0.9185378835316218,0.007018226746535991,10.523747742374558,0.15715609263187952,63880
horizon,4,0.9036850344395742,0.007491532361629836,14.10282083654766,0.2962056476782247,63880
horizon,5,0.9109768315591735,0.006097971897765531,14.254029526491678,0.18123766373160655,63880
Hs,3.0,0.9422799263351749,0.0036639145337926753,6.89372518676745,0.055867056001929365,21720
Hs,5.0,0.9272246777163904,0.0037196667994050404,10.65613788602202,0.11081413828059766,21720
Hs,7.0,0.8993170254403131,0.005501394944347455,13.716272962851756,0.20686674003548555,20440
tonnage,10.0,0.9336589516678012,0.006834118157628822,8.931927056539964,0.25548127136289805,11752
tonnage,20.0,0.930036832412523,0.0028247231115031994,10.577110983759605,0.06238520130195334,13032
tonnage,30.0,0.9192940454266422,0.0034243642653984073,10.72362504028546,0.08000539485705946,13032
tonnage,40.0,0.9166359729895641,0.0034769481216893,10.714181743309766,0.07919864689952279,13032
tonnage,50.0,0.9184499693063228,0.0037376153265989316,10.69346456330965,0.08786298585924325,13032
marginal,nan,0.923413901064496,0.0036299695206629787,10.356037027264827,0.10845721318219441,319400
regime,below,0.9359372886303603,0.0035029182430744254,,0.0,280906
regime,above,0.8320257702499092,0.013648171788706611,,0.0,38494
